a.m,n.(缩)上午；午前
box,"n.箱盒包箱专席亭子窘境vt.装...入盒中限制住调和改变形状用
拳击…vi.参与拳击拳击打拳"
boy,n.男孩儿子少年家伙
boycott,vt.&n.联合抵制
brace,n.支柱 vt.拉紧，撑牢
bracket,"n. 支架,括弧,托架"
brain,n.脑脑髓脑力智力vt.打...的脑袋
brake,n.蕨菜闸刹车制动器vt. &vi.制动煞车压榨
branch,n.分支树枝分部分科vt & vi.分支分岔
brand,n.燃烧的木条剑商品商标牌子烙印类型vt.铭刻打烙印污蔑
brandy,n.白兰地酒vt.以白兰地酒调制
brass,n.黄铜(制品)黄铜器铜管(乐器)adj.黄铜的
brave,"adj.勇敢的华丽的缤纷的vt.勇敢地面对(危险等)抵抗n.勇敢的
人"
Brazil,n.巴西
Brazilian,n.巴西人adj.巴西的
bread,n.面包食物粮食生计vt.撒面包屑
breadth,n.宽度幅度幅面
break,n.休息中断破裂vt.打破损坏弄破弄坏破坏
breakdown,n.崩溃，倒塌；失败
breakfast,n.早饭早餐vt.吃早餐vi.提供早餐
breast,n.乳房胸脯胸膛vt.面对以胸对着
breath,n.气息呼吸气味微风迹象精神一种说话的声音
breathe,vi.呼吸vt.呼吸轻声说流露感情注入
breed,n.品种族类vt.使繁殖养育繁殖引起vi.繁殖
breeze,n.微风和风轻而易举的事vi.飘然而行轻松地得胜或进步
bribe,n.贿赂 vt.向…行贿
brick,n.砖砖块砖状物积木可靠的朋友vt.(up)用砖砌补用砖堵住
bridge,n.桥桥梁桥牌鼻梁vt.渡过架桥
brief,n.摘要简报adj.简短的简洁的短暂的vt.作简报简单讨论
bright,adj.明亮的阳光的生动的聪明的adv.亮n.亮色
brighten,vt.使发光使快活使变亮使生辉vi.发光发亮
brilliant,adj.光辉的卓越的灿烂的有才气的杰出的n.宝石
brim,n.边边缘帽沿v.(装)满(使)溢出
bring,vt.带来引出促使劝诱vi.产生
brisk,adj.活泼的活跃的快的清新的敏锐的凛冽的
bristle,n.短而硬的毛鬃毛
Britain,n.不列颠英国
British,adj.不列颠的英国的英联邦的n.英国人英国英语
brittle,a.脆的；易损坏的
broad,"adj.宽广的阔的广泛的清楚无误的明显的粗俗的adv.完全地
n.(复）河流的延伸"
broadcast,n.广播广播节目播音adj.广播的vt. &vi.广播adv.经广播四散地
broken,"adj.被打碎的骨折的坏掉的坏掉的v.打破弄坏(break的过去分
词)"
bronze,"adj.青铜色的n.青铜青铜制品青铜色铜牌(第三名)vt.使成青铜
色"
brood,n.窝同窝幼鸟vt.孵(蛋)沉思
brook,n.小河溪流vt.(常用于否定句或疑问句)容忍忍受
broom,n.扫帚灌木vt.扫
brother,n.兄弟同事同胞教友
brow,n.额眉眉毛
brown,(姓)布朗adj.褐色的棕色的n.褐色棕色
bruise,n.青肿伤痕擦伤瘀青挫伤vi.受伤擦伤vt.使挫伤
brush,"n.刷子毛刷画笔轻擦小冲突灌木丛vt.用刷子清洗画拭去打发vi.
轻擦拂拭"
brutal,"a. 残忍的,野蛮的,不讲理的"
brute,n.禽兽畜生畜生残忍的人adj.残忍的无理性的粗暴的
bubble,n.泡泡沫气泡幻想骗局欢乐vi.冒泡沸腾起泡出现洋溢vt.使冒泡
bucket,n.水桶吊桶铲斗vt.装在桶里vi.急急忙忙
buckle,n.皮带扣vt. &vi.扣住弯曲专心做事屈服adj.带扣弯曲的
bud,n.芽萌芽蓓蕾vi.发芽萌芽vt.使发芽
budget,n.预算，预算案
buffer,"n. 缓冲,缓冲区 vt. 缓冲"
bug,n.虫子；臭虫
build,vt. &vi.建筑建立创立建造创建开发逐渐增强n.体格身材
building,n.建筑物大楼建筑
bulb,n.电灯泡球状物
bulk,"n.物体容积大批大部分大多数大块大批容积体积vi.变大增加vt.
膨胀出现adj.大量的"
bull,"adj.大型的公牛的雄性的n.公牛雄的象买空着像牛的东西斗牛犬
教宗训谕法令vi.猛冲vt.暴力强制"
bullet,n.枪弹子弹弹丸
bulletin,告示，公告，公报
bump,vt.撞击 vi.撞 n.肿块
bunch,"n.束球串一群一组凸起大量vi.凸起使成一束(或一群等)vt.使成
一束"
bundle,n.捆包束包袱一批一大笔钱vt.捆匆匆送走附赠vi.匆忙
burden,n.担子负担重担装载量v.使负重装载烦扰
bureau,n.局司处社所办公处
bureaucracy,n.官僚主义；官僚机构
burial,n.安葬，埋葬，埋藏
burn,vt. &vi.烧燃烧烧着烧毁灼伤n.烧伤灼伤
burst,n.破裂阵爆发vt. &vi.爆裂突发
bury,vt.埋葬葬埋藏
bus,n.公共汽车
bush,"n.灌木灌木丛矮树荒野狐狸尾巴vt.用灌木保护或支撑加衬套于
vi.成灌木形丛生adj.长得低矮的二流的"
business,n.商业生意事务
busy,adj.忙的繁忙的杂乱的vt.使忙于vi.忙
but,adv.仅仅只conj.但是可是prep.除...以外pron.只有
butcher,n.屠夫屠杀者刽子手肉商小贩vt.屠宰滥杀将某事弄得一团糟
butter,n.黄油阿谀奉承vt.涂黄油
butterfly,n.蝴蝶蝶状物蝶泳vt.(烹饪时把鱼肉等)切开摊平
button,"n.扣子按钮像纽扣的东西未成熟的蘑菇按钮vt.扣紧用纽扣装饰
钉纽扣闭嘴vi.扣上"
buy,n.合理的价格购买vt.买购买换得收买接受vi.购买
buzz,vi.(蜂等)嗡嗡叫
by,"prep.在...旁被由经由在...之前根据adv.靠近经过放在一旁地
adj.在旁边的附带的n.次要的事件"
bypass,n.旁通管 vt.绕过
cabbage,n.洋白菜卷心菜vt.偷窃
cabin,n.小木屋船舱机舱vt.抑制vi.住在小屋
cabinet,n.橱柜内阁adj.私人的
cable,"n.缆索电缆海底电报vt.打海底电报把...拧成缆用缆捆住vi.打
海底电报"
cafe,n.咖啡馆小餐厅
cafeteria,n.自助食堂adj.有多种选择的
cage,n.笼鸟笼囚笼监狱笼状结构vt.关入笼中
cake,"n.饼糕蛋糕块状物小菜一碟(容易做成的事)vt.涂厚厚的一层覆
盖填满vi.结成块"
calculate,vt.计算估计考虑推测计划vi.计算预测依赖
calculation,n.计算计算结果
calculator,n.计算器计算者
calendar,n.日历月历日程表历书历法vt.进入日历
call,"n.呼叫访问打电话请求把…看作vt.把...叫做叫喊呼叫访问打电
话vi.(短暂的)拜访呼叫"
calm,n.平稳风平浪静adj.静的平静的冷静的vt. &vi.平静下来镇静
camel,n.骆驼浮船箱浅黄棕色
camera,n.照相机摄影机罗马教廷的财政部
camp,"n.野营营地兵营露营帐棚训练营做作vt. &vi.露营扎营做作adj.
做作的"
campaign,n.战役运动活动vt.参加竞赛vi.(从事、组织)活动
campus,n.校园学校场地
can,aux.v.能会可能n.罐头听头容器vt.罐装vt.炒某人鱿鱼
Canada,n.加拿大
Canadian,adj.加拿大的加拿大人的n.加拿大人
canal,n.运河沟渠管气管食管vt.建运河疏导
cancel,n.取消撤消vt.取消撤消删去约分vi.抵消
cancer,n.癌癌症肿瘤巨蟹座
candidate,n.候选人投考者求职者
candle,n.蜡烛烛形物烛光
candy,n.糖果砂糖结晶vt.用糖煮使结晶为砂糖vi.结晶为砂糖
cannon,n.大炮火炮榴弹炮v.开炮
canoe,n.独木舟皮艇划子轻舟v.乘独木舟
canon,"n. 教会法规标准、准则正典正式名单教堂里的教士佳能(财富
500强公司之一总部所在地日本主要经营办公设备)"
canteen,n.小卖部临时餐室食堂
canvas,n.粗帆布； 一块油画布
cap,"n.帽子便帽帽状物盖子顶vt.给戴帽覆盖顶端超过形成化学键于
抑制vi.形成化学键"
capable,adj.有能力的有才能的足以胜任的有...倾向的
capacity,n.容量能力能量容积资格职位adj.(达到最大容量)满的
capital,n.资本资金首都大写字母adj.大写的资本的首要的
capsule,"n. 胶囊,瓶帽,太空舱"
captain,n.陆军上尉队长船长首领vt.率领指挥
captive,n.俘虏被监禁的人迷恋者adj.被俘的被迷住的
capture,n.抓取战利品捕获之物vt.捕获俘获夺得抓取获得迷住
car,n.汽车小汽车轿车车厢吊舱
carbon,n.碳灯芯复写纸
card,"n.卡卡片名片纸牌打牌节目单vt.附上或提供卡片印卡在卡片上
列出检查资格"
care,"n.小心照料忧虑慎思焦虑因素vi.关心介意照顾喜爱vt.介意希望
abbr.=Cooperative for American Remittances to Europe 汇
款到欧洲合作社"
career,n.生涯职业事业经历vi.猛冲飞跑vt.在...中急行
careful,adj.小心的仔细的细致的
careless,adj.粗心的漫不经心的疏忽的n.不关心的粗心的[反]attentive
cargo,n.船货货物
carpenter,n.木工木匠v.做木工活
carpet,n.地毯毡毯毛毯vt.铺以地毯铺盖
carriage,n.客车厢四轮马车
carrier,"n.运输工具运载工具运送者行李架客运公司航空母舰带菌者电信
公司"
carrot,n.胡罗卜报酬好处
carry,"n. 搬运射程投射联运vt. 负载承担携带运载运输传送传播表达
带有容纳怀孕延续推动赢得记录vi. 负载被传达容许被运输被通
过"
cart,"n.(二轮或四轮)运货马车手推车vt.用马车装载用手提(笨重物
品)强行带走"
cartoon,n.漫画，动画片
carve,vt.刻雕刻切开vi.雕刻切割
case,n.情况事实实情病例箱(子)盒(子)套案例vt.装箱踩点
cash,n.现金现款vt.兑现付现款adj.现金的
cassette,n.盒式录音带盒子匣子盒式录音机
cast,n.演员阵容投掷vt.投扔抛浇铸
castle,"n.城堡巨大建筑物vt.置于城堡中(棋)移动王车易位vi.(棋)移动
王车易位"
casual,adj.偶然的随便的非正式漫不经心的
casualty,"n. 伤亡,受害者"
cat,"n.猫猫科猫皮邪恶的女人吊锚机单帆小船vt.吊锚vi.寻找性交伴
侣(CAT)电子计算机横断层扫描"
catalog,"n. 目录目录册大学概况手册商品型录vt. 做目录分类说明名入
列表vi. 研究(手册或目录) (商品)在型录中明码标价"
catch,"n.捕捉陷阱捕获物接(球等)扣栓物隐患vt.捉住赶上领会了解感
染被钩住击中察觉vi.抓住燃着"
category,n.种类，类目；范畴
cater,vi.迎合，投合
cathedral,n.总教堂；大教堂
catholic,a.天主教的n.天主教徒
cattle,n.牛牲口家畜畜牲(复数)
cause,n.原因理由事业vt.引起使发生
caution,n.小心；告诫 vt.警告
cautious,a.小心的，谨慎的
cave,n.山洞洞穴窑洞vt.挖空塌落屈服vi.塌落
cavity,n.洞，穴，空腔
cease,vi. &vi. &n.停止终了停息
ceiling,n.天花板顶蓬上限
celebrate,vt.庆祝歌颂赞美vi.庆祝祝贺颂扬
cell,n.细胞小房间电池小组单人牢房(蜂房的)巢室手机
cellar,n.地窑地下室vt.把...藏入地窑(或酒窑)
cement,"n.水泥胶泥纽带接合剂牙骨质补牙物基石vt.粘结接合用水泥涂
vi.接合起来"
census,n. 户口普查 vt.统计调查
cent,n.分分币百(分之)
center,n.中心中间主角中锋重点vi.居中聚焦于...vt.使集中放在中央
centigrade,adj.百分度的摄氏的
centimetre,n.公分厘米=centimeter(美）
central,"adj.中心的主要的基本的折中的中枢的n.电话交流中央办公室中
心"
centre,n.中心中枢聚集点vt.集中置于中央关注于vi.居中
century,n.世纪一百年成百的东西
ceramic,a. 陶器的 n. 陶瓷制品
cereal,n.谷类，五谷，禾谷
ceremony,n.典礼仪式礼节礼仪
certain,adj.确实的肯定的必然的特定的pron.某几个某些
certainly,adv.一定必定当然
certainty,n.确实性，确信，确实
certificate,n.证(明)书证件执照vt.批准认可发证书给...
certify,"vt.vi. 证明,保证"
chain,n.链链条项圈连锁束缚vt.用铁练锁住束缚囚禁
chair,n.椅子主席席位讲座要职vt.上任使担任(某事务)的主席主持
chairman,n.主席议长会长
chalk,n.白垩粉笔v.用粉笔写记录
challenge,n.挑战要求需要v.向...挑战
chamber,n.会议室房间会所室腔vt.装入室中(枪膛)adj.室内演奏的
champion,n.冠军得胜者拥护者勇士vt.保卫拥护
chance,n.机会意外运气风险可能性vi.偶然发生vt.偶然发生冒险
change,n.改变变化零钱vt. &vi.改变
channel,n.海峡渠道通道频道方法vt.引导开导形成河道输送
chaos,"n. 大混乱,混沌"
chapter,n.章回篇牧师的例行会议地方分会
character,n.性格个性品质特性角色字符人物名誉地位adj.
characteristic,adj.特有的典型的n.特性特征特色
characterize,vt.表示…的特性
charge,"vt. &vi.索价控告加罪于要价赊帐充电管理n.电荷指控费用照顾
责任"
charity,n.施舍慈善事业慈善慈善机关(团体)仁慈宽厚
charm,n.魅力；妩媚 vi.迷人
charming,adj迷人的可爱的
chart,n.图图表海图vt.制成图表
charter,vt.租 n.宪章；契据
chase,n.追逐追赶追求狩猎争取vt.追捕狩猎
chat,"n. 闲谈 vi. 闲谈,聊天"
cheap,adj.廉价的便宜的劣质的品质低的虚伪的adv.便宜地
cheat,n.骗子欺骗行为vt.骗取哄作弊vi.行骗作弊
check,"vt.检查制止阻止核对(国际象棋)将军n.检查支票账单制止阻止
物检验标准(国际象棋)将军"
cheek,n.面颊脸蛋vt.粗鲁地向...讲
cheer,n.愉快激励欢呼vt.欢呼加油鼓舞快活起来vi.使振奋欢呼
cheerful,adj.快乐的愉快的
cheese,n.乳酪干酪要求照相的人说的口形词vt.停止
chemical,adj.化学的n.化学制品
chemist,n.化学家药剂师
chemistry,n.化学化学性质相互作用
cheque,n.支票
cherish,vt.珍爱；怀有(感情)
cherry,n.樱桃樱桃树樱桃色
chess,n.棋国际象棋
chest,n.胸腔胸膛(大)箱子金库资金一箱密封室：衣橱
chew,vt.咀嚼嚼碎损坏vi.咀嚼n.咀嚼咀嚼物
chicken,n.小鸡小鸟鸡肉胆小懦夫adj.懦弱的胆小的
chief,adj.主要的首席的n.首领
child,n.小孩儿童儿子产物
childhood,n.童年幼年早期
childish,adj.孩子气的幼稚的简单的年老糊涂的
chill,"vt.  使变冷使...寒心冷冻使...惊恐使泄气vi. 变冷发抖凝固
感到寒冷n.  寒冷寒意失意恐惧adj.  寒冷的冷漠的感冒的扫兴
的"
chimney,n.烟囱烟筒玻璃罩
chin,n.颏下巴vt.做单杠vi.作引体向上聊天
China,n.中国
china,n.瓷器瓷料
Chinese,adj.中国的n.中国人汉语
chip,n.薄片，碎片
chocolate,"n.巧克力巧克力糖巧克力饮品adj.巧克力的有巧克力糖衣的巧克
力色的"
choice,n.选择挑选抉择adj.上等的精选的
choke,"vt.(掐住或阻塞气管)使(某人)停止呼吸塞满vi.窒息阻塞n.窒息
阻风门开关阻塞"
choose,vt.选择挑选情愿vi.选择
chop,vt.砍(价)劈切(细)剁碎vi.砍n.厚肉片排骨砍
chord,n.(乐器的)弦 vi.协调
chorus,vt.&vi.合唱
Christian,n.基督教徒信徒adj.基督教(徒)的信奉基督教的仁慈的
Christmas,n.圣诞节
chronic,"a.慢性的,习惯性的n.慢性病患者"
church,"n.教堂礼拜堂礼拜仪式基督教徒教会adj.教堂的vt.把...带到教
堂接受某种宗教仪式"
cigarette,n.香烟纸烟卷烟
cinema,n.电影院电影影片
circle,n.圆圆周圈子社交圈循环vt. &vi.包围盘旋环绕
circuit,n.电路环行一圈巡行巡回vt. &vi.巡回
circular,adj.圆的循环的n.传单通报
circulate,vt.使循环使流通vi.流通循环传播
circulation,n.循环；(货币等)流通
circumference,n.圆周周长周围圆周线胸围
circumstance,n.情况条件境遇环境(复数)境况事件详情
circus,n.马戏；马戏团
cite,vt.引用，引证；举例
citizen,n.公民市民居民
city,n.城市都市
civil,adj.国内的公民的文职的文明的有礼貌的民用的
civilian,n.平民 a.平民的
civilization,n.文明文化开化
civilize,vt.使文明教育
claim,"vt.要求请求声称主张断言索取n.要求要求权主张断言声称要求
物"
clamp,n.夹子 vt.夹住，夹紧
clap,"vi.拍手砰的一声突然离开vt.拍轻拍轻敲鼓掌击掌急速放置n.拍
手拍手声一阵强风"
clarify,vt.澄清阐明使...明晰
clarity,"n. 清楚,透明"
clash,n.碰撞声；抵触，冲突
clasp,n.扣子钩子别针紧握v.扣紧紧握密切合作
class,n.班班级(等)阶级种类vt.分类
classic,n.名著 a.不朽的
classical,adj.古典的经典的典雅的
classification,n.分类分级分类法
classify,vt.把...分类分类归类
classmate,n.同班同学
classroom,n.教室课堂
clause,"n. 子句,条款"
claw,n.爪钳脚爪螯爪状物vt. &vi.抓撕
clay,n.粘土泥土肉体
clean,"adj.清洁的干净的纯洁的正当的完全的精准的空的adv.完全地n.
清洁vt. &vi.打扫清扫"
clear,"adj.清晰的清楚的明确的澄清的头脑清醒的vt.清除清除障碍澄
清使明亮明确vi.变清晰消失放晴adv.清楚地一直n.间隙空地开
旷的地方"
